Posted Date,Reference Number,Payee,Address,Amount
04/10/2020,55432860101200642674421,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
04/06/2020,55432860097200738760213,"NINTENDO *AMERICAUS 800-255-3700 WA","800-255-3700  WA ",-4.32
04/02/2020,09306005720014852397620,"Online payment from CHK 7795","",515.00
04/01/2020,25505900092040093651472,"ASOS US SALES LLC WWW.ASOS.COM DE","WWW.ASOS.COM  DE ",-43.29
03/30/2020,55310200090083318302108,"AMZN MKTP US*RZ7TE6FN3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-9.20
03/30/2020,55310200089083385404145,"AMZN MKTP US*Q82HC30R3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-27.79
03/24/2020,05410190083091016217219,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-30.06
03/23/2020,55500800083400628001285,"HAN YANG MARKET. AUSTIN TX","AUSTIN        TX ",-28.24
03/23/2020,55432860082200578665693,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
03/21/2020,05410190080091016521035,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-16.89
03/20/2020,55429500079637389005787,"CUROLOGY 8588591188 CA","8588591188    CA ",-39.90
03/19/2020,05410190078091016713750,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-7.10
