Posted Date,Reference Number,Payee,Address,Amount
12/14/2019,75454919347900011313670,"KFTEAUSA_31 AUSTIN TX","AUSTIN        TX ",-4.60
12/14/2019,55429509347637032024984,"DOORDASH*MADAM MAMS 6506819470 CA","6506819470    CA ",-15.11
12/13/2019,55431409346630148398798,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-2.48
12/12/2019,55436879346123469591356,"OMAS KITCHEN AUSTIN TX","AUSTIN        TX ",-8.65
12/12/2019,05436849346500167760938,"WENDY'S 126 AUSTIN TX","AUSTIN        TX ",-2.15
12/12/2019,05410199345091016098549,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.99
12/12/2019,55431409345630131959870,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.89
12/12/2019,55431409345630131960878,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-5.92
12/11/2019,55432869345200328652102,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
12/11/2019,75454919344900011009511,"KFTEAUSA_31 AUSTIN TX","AUSTIN        TX ",-6.22
12/11/2019,05410199344091016390624,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.99
12/11/2019,55436879344173443342238,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.86
12/10/2019,05436849344500160178528,"WENDY'S 126 AUSTIN TX","AUSTIN        TX ",-2.15
12/10/2019,05410199343091016540922,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.99
12/10/2019,05410199343091016091819,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-1.99
12/10/2019,55432869343200771422500,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
12/09/2019,55436879343123435652038,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-1.61
12/09/2019,05410199342091016255951,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.99
12/09/2019,05410199342091016257338,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.99
12/09/2019,55431409342630186287675,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-7.55
12/09/2019,05410199342091016084583,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-4.75
12/09/2019,05410199341091016531956,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.50
12/07/2019,55436879341123417333112,"COCA COLA AUSTIN AUSTIN TX","AUSTIN        TX ",-1.75
12/07/2019,55431409340630147049158,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.18
12/07/2019,05410199340091016618986,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-6.08
12/06/2019,55436879340153402323266,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-7.19
12/06/2019,05410199339091016461646,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-8.20
12/05/2019,55436879339733399539280,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-11.41
12/04/2019,55432869338200438746918,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
12/04/2019,33706005720001420364451,"Online payment from CHK 7795","",800.00
12/03/2019,05410199336091016610310,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-14.60
12/02/2019,55499679335819000514705,"BATH AND BODY WORKS 44 FRISCO TX","FRISCO        TX ",-12.99
12/02/2019,55263529335091301741269,"0223 FOREVER 21 FRISCO TX","FRISCO        TX ",-18.93
12/02/2019,05410199335091016335034,"TARGET 00017632 FRISCO TX","FRISCO        TX ",-19.16
12/02/2019,55432869334200397594360,"SQU*SQ *SUMMER MOON CO Frisco TX","Frisco        TX ",-5.68
12/02/2019,25415759334002795056332,"7-ELEVEN 37170 PLANO TX","PLANO         TX ",-11.02
11/30/2019,33486000000360305464572,"CASH REWARDS STATEMENT CREDIT","",24.50
11/30/2019,02305379334000570413529,"CVS/PHARMACY #03724 PLANO TX","PLANO         TX ",-2.49
11/29/2019,02305379333000184664583,"CVS/PHARMACY #03724 PLANO TX","PLANO         TX ",-13.08
11/29/2019,55263529333400672000225,"AUNTIE ANNE'S TX174 FRISCO TX","FRISCO        TX ",-4.49
11/29/2019,55500369332840291643159,"PACSUN #0499 FRISCO TX","FRISCO        TX ",-27.01
11/29/2019,55446419332400622003415,"H&M0359 FRISCO TX","FRISCO        TX ",-3.24
11/29/2019,55263529332091300281252,"0223 FOREVER 21 FRISCO TX","FRISCO        TX ",-5.40
11/27/2019,55436879331153317806026,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-13.73
11/27/2019,55432869331200542326836,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
11/27/2019,55432869331200525308678,"BUC-EE'S #35 TEMPLE TX","TEMPLE        TX ",-26.84
11/27/2019,05140489330710058855644,"SONIC DRIVE IN#1557 AUSTIN TX","AUSTIN        TX ",-4.95
11/27/2019,55431409330630170615810,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-3.44
11/27/2019,55432869330200405597003,"SQU*SQ *CONNORS'S CREA Austin TX","Austin        TX ",-5.41
11/27/2019,55432869330200403710400,"SQ *SQ *GLOSSIER Austin TX","Austin        TX ",-36.13
11/26/2019,55436879330153307776537,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.86
11/26/2019,55436879329163293524679,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-1.69
11/23/2019,55446419327400251001042,"H&M0280 AUSTIN TX","AUSTIN        TX ",-18.38
11/23/2019,55432869327200579558380,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/23/2019,55429509327717288261912,"BRANDY MELVILLE USA 3104583925 NJ","3104583925    NJ ",-57.93
11/22/2019,55432869326200320973574,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/20/2019,55436879324153247271548,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.86
11/20/2019,55432869324200839130304,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/19/2019,55436879323733238348644,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.41
11/19/2019,55432869323200577031707,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/18/2019,02305379322000420946078,"CVS/PHARMACY #07606 AUSTIN TX","AUSTIN        TX ",-12.61
11/18/2019,72306069321900010670659,"BRANDY MELVILLE - AUST AUSTIN TX","AUSTIN        TX ",-45.47
11/18/2019,55310209321400912001526,"LUSH THE DOMAIN (493) AUSTIN TX","AUSTIN        TX ",-28.52
11/18/2019,55446419321400259002634,"H&M0280 AUSTIN TX","AUSTIN        TX ",-19.47
11/18/2019,55432869320200913571039,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/18/2019,05410199321091016575742,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-9.98
11/16/2019,55432869320200780557848,"AUSTIN CONV CENTER PKG 512-404-4059 TX","512-404-4059  TX ",-10.00
