Posted Date,Reference Number,Payee,Address,Amount
02/15/2020,05410190045091016578872,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.58
02/15/2020,05410190045091016258087,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-7.57
02/14/2020,55436870045150458252438,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-8.81
02/14/2020,55432860045200478957980,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
02/14/2020,75454910044900015750021,"KFTEAUSA_31 AUSTIN TX","AUSTIN        TX ",-5.14
02/14/2020,05410190044091016760885,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-8.66
02/14/2020,55431400044630167756276,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-5.48
02/14/2020,55431400044630167759478,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-2.70
02/13/2020,05410190043091016571549,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-1.50
02/12/2020,55432860043200882336617,"SQ *UTEA PHO AUSTIN TX","AUSTIN        TX ",-9.96
02/10/2020,05410190040091016242714,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-5.98
02/10/2020,05410190040091016046081,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.09
02/08/2020,55432860039200030343644,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
02/07/2020,05410190037091016551457,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-12.93
02/06/2020,55436870037730378420775,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-8.81
02/06/2020,55431400036630140655553,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-5.75
02/05/2020,03606005710039943096800,"Online payment from CHK 7795","",700.00
02/05/2020,55436870036730367884305,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-8.81
02/05/2020,05410190035091016546483,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-5.98
02/05/2020,05410190035091016544678,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-7.55
02/05/2020,55431400035630122462417,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.72
02/05/2020,55431400035630122461229,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-4.56
02/05/2020,55431400035630122461930,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.89
02/04/2020,55432860035200016009064,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
02/04/2020,75454910034900014639789,"KFTEAUSA_31 AUSTIN TX","AUSTIN        TX ",-6.22
02/03/2020,05410190033091016539423,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-5.98
02/03/2020,05410190033091016497648,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-11.99
02/03/2020,05410190033091016497085,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-9.14
02/01/2020,55436870032160324154879,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.86
02/01/2020,55431400031630148774294,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.89
02/01/2020,55431400031630148776802,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-9.99
02/01/2020,55432860031200087108245,"SQ *TAPIOCA HOUSE. Austin TX","Austin        TX ",-5.13
01/31/2020,55431400030630132459101,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-6.56
01/30/2020,75500590029900018765052,"UNIVERSITY CO-OP AUSTIN TX","AUSTIN        TX ",-43.30
01/30/2020,55436870030150305882269,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.48
01/30/2020,55432860030200736759407,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
01/30/2020,05410190029091016527564,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-20.50
01/30/2020,55431400029630117342762,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.89
01/30/2020,55431400029630117345914,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-6.56
01/30/2020,55431400029630117348124,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-4.36
01/29/2020,55431400028630100589412,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-11.28
01/29/2020,55432860028200379044087,"SQ *TAPIOCA HOUSE. Austin TX","Austin        TX ",-5.13
01/28/2020,55500800027010000856609,"GONG CHA. AUSTIN TX","AUSTIN        TX ",-5.50
01/28/2020,55431400027630185392568,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.89
01/27/2020,55432860027200007663002,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
01/27/2020,05410190026091016516602,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-4.71
01/27/2020,05410190026091016678618,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.33
01/27/2020,55310200025083371460066,"AMZN MKTP US*4L5R70KA3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-5.25
01/27/2020,55431400025630158394064,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-4.08
01/25/2020,55310200025083368658649,"AMZN MKTP US*H147Y1263 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-26.62
01/25/2020,05410190024091016090311,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.49
01/25/2020,55431400024630139800388,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-6.02
01/24/2020,55310200023083746792393,"AMAZON.COM*SD3QH9ZH3 A AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-28.79
01/23/2020,55310200023083346989589,"AMZN MKTP US*MW9UM4XD3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-64.41
01/23/2020,05140480022740251186093,"H-E-B #425 AUSTIN TX","AUSTIN        TX ",-42.83
01/23/2020,55432860023200079141535,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
01/23/2020,55431400022630107697453,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-7.46
01/22/2020,75454910021900013427470,"KFTEAUSA_31 AUSTIN TX","AUSTIN        TX ",-8.93
01/22/2020,05410190021091016182251,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.99
01/20/2020,05410190019091016070856,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-9.74
01/20/2020,85504990019900586202453,"VELVET TACO - DOMAIN AUSTIN TX","AUSTIN        TX ",-5.36
01/20/2020,55429500019637956830222,"CUROLOGY 8588591188 CA","8588591188    CA ",-39.90
01/20/2020,05410190019091016590150,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-1.08
01/18/2020,75181170017900013200874,"TOM N TOMS COFFEE CARR CARROLLTON TX","CARROLLTON    TX ",-4.28
01/17/2020,55432860016200511198928,"SQ *SQ *MUDLEAF COFFEE Plano TX","Plano         TX ",-9.47
01/16/2020,55432860015200296055708,"SQ *SQ *MUDLEAF COFFEE Plano TX","Plano         TX ",-6.77
