Posted Date,Reference Number,Payee,Address,Amount
01/13/2020,55432860012200448056193,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
01/11/2020,25247800010000837602250,"BERRY NAKED PLANO TX","PLANO         TX ",-3.69
01/10/2020,55432860009200804027502,"SQ *SQ *THE NEST Frisco TX","Frisco        TX ",-12.18
01/08/2020,85409240007980002985899,"CAFE MOZART BAKERY CARROLLTON TX","CARROLLTON    TX ",-4.54
01/07/2020,55161580006664274095519,"A B E CARROLLTON TX","CARROLLTON    TX ",-14.94
01/07/2020,85409240006980002985890,"CAFE MOZART BAKERY CARROLLTON TX","CARROLLTON    TX ",-5.40
01/06/2020,55432860005200748302858,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
01/04/2020,02305370003100075314930,"BARNES & NOBLE #2060 FRISCO TX","FRISCO        TX ",18.39
01/03/2020,55436870003730038889286,"7 LEAVES FRISCO FRISCO TX","FRISCO        TX ",-10.07
01/02/2020,00106005720016896428924,"Online payment from CHK 7795","",570.00
01/02/2020,02305370001100067723124,"BARNES & NOBLE #2060 FRISCO TX","FRISCO        TX ",-23.75
01/02/2020,55432860001200652172192,"SEPHORA 86 FRISCO TX","FRISCO        TX ",-21.65
01/02/2020,55432860001200723728360,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
12/31/2019,75454919364900012141185,"THEBISCUITBAR_1 PLANO TX","PLANO         TX ",-10.39
12/30/2019,05410199362091016008777,"TARGET 00017632 FRISCO TX","FRISCO        TX ",-15.54
12/28/2019,85197019361700143367375,"BOBA LATTE FRISCO FRISCO TX","FRISCO        TX ",-4.33
12/23/2019,05140489356120000033325,"CORNER STORE 0110 AUSTIN TX","AUSTIN        TX ",-23.89
12/23/2019,55432869356200408242879,"BUC-EE'S #35 TEMPLE TX","TEMPLE        TX ",-13.08
12/19/2019,05140489352740256636572,"H-E-B #425 AUSTIN TX","AUSTIN        TX ",-16.55
12/19/2019,55310209352083341497150,"AMAZON.COM*A67P27SV3 A AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-45.45
12/18/2019,55432869351200991846263,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
12/17/2019,55432869351200930514907,"PAT*PATAGONIADIRECTINC 800-638-6464 CA","800-638-6464  CA ",-150.47
12/17/2019,05410199350091016016667,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-5.35
12/17/2019,05410199350091016498840,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.02
12/16/2019,55432869349200451367268,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
12/16/2019,05410199349091016769160,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-5.98
