Posted Date,Reference Number,Payee,Address,Amount
03/13/2020,55436870073150737044809,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-8.81
03/13/2020,55432860073200547145919,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
03/12/2020,55436870072150726956634,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-8.81
03/12/2020,05410190071091016506219,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.19
03/12/2020,55436870071260711236818,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-1.79
03/11/2020,55436870071730718721814,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-6.48
03/11/2020,75454910070900018379064,"KFTEAUSA_31 AUSTIN TX","AUSTIN        TX ",-5.14
03/11/2020,05410190070091016202026,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-9.09
03/11/2020,55436870070170709804157,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-1.79
03/11/2020,55500800070010000623971,"GONG CHA. AUSTIN TX","AUSTIN        TX ",-5.50
03/11/2020,55431400070630106559937,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-5.99
03/11/2020,55431400070630106557113,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-6.56
03/10/2020,55431400069630191453056,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-5.48
03/09/2020,05410190068091016213449,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.00
03/09/2020,05410190068091016054546,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.07
03/09/2020,55310200067083773072112,"AMZN MKTP US*7X7LM4JL3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-7.50
03/09/2020,05410190068091016052508,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-14.17
03/09/2020,55432860068200337833200,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
03/07/2020,55310200066083753740259,"AMZN MKTP US*JX2L317W3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-40.04
03/07/2020,55436870067150672610422,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-8.81
03/07/2020,55431400066630144464377,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-12.32
03/07/2020,05410190066091016124853,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-12.32
03/06/2020,55432860065200580573571,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
03/05/2020,05410190064091016402863,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-14.48
03/05/2020,55436870064170647363587,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-8.81
03/04/2020,55431400063630188238516,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.72
03/04/2020,55432860063200050918464,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
03/03/2020,55431400062630167374234,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-5.63
03/02/2020,06206005710025186279176,"Online payment from CHK 7795","",500.00
03/02/2020,55421350060939139841688,"AUSTIN BOULDERING PROJ AUSTIN TX","AUSTIN        TX ",-15.16
03/02/2020,55432860060200335460699,"SQ *GREATER GOODS ROAS Austin TX","Austin        TX ",-5.00
02/29/2020,55432860060200143238642,"SQ *TAPIOCA HOUSE. Austin TX","Austin        TX ",-4.54
02/29/2020,75454910059900017266036,"KFTEAUSA_31 AUSTIN TX","AUSTIN        TX ",-5.41
02/29/2020,55431400059630110510269,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-4.42
02/29/2020,55432860059200010998347,"SQ *UTEA PHO Austin TX","Austin        TX ",-9.96
