Posted Date,Reference Number,Payee,Address,Amount
11/15/2019,55436879318263181735669,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-1.18
11/15/2019,55432869318200471877178,"SQ *SQ *MEDICI ROASTIN Austin TX","Austin        TX ",-6.50
11/14/2019,55436879317173179367964,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-1.69
11/13/2019,55436879317123177708503,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-1.07
11/12/2019,55432869315200823396276,"SQ *SQ *MEDICI ROASTIN Austin TX","Austin        TX ",-5.50
11/12/2019,55432869315200717059907,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/11/2019,55432869314200578624402,"SQ *SQ *MEDICI ROASTIN Austin TX","Austin        TX ",-5.50
11/11/2019,55432869314200590952716,"SQ *SQ *UTEA PHO Austin TX","Austin        TX ",-9.96
11/11/2019,55429509314637063277344,"CUROLOGY 8588591188 CA","8588591188    CA ",-60.73
11/11/2019,55432869314200508959944,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/11/2019,55432869313200358161394,"SQ *SQ *MEDICI ROASTIN Austin TX","Austin        TX ",-3.15
11/11/2019,55432869313200358158606,"SQ *SQ *MEDICI ROASTIN Austin TX","Austin        TX ",-5.50
11/11/2019,05410199314091017215396,"TARGET 00015420 AUSTIN TX","AUSTIN        TX ",-29.20
11/09/2019,55436879313163133903164,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-5.20
11/08/2019,55436879312153129628009,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.43
11/08/2019,55432869311200899003131,"SQ *SQ *SUMMERMOON COF Austin TX","Austin        TX ",-5.00
11/07/2019,55432869311200795070408,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/07/2019,05410199310091016080639,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-6.98
11/05/2019,55432869309200315308381,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
11/02/2019,55436879306153068561292,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.20
11/02/2019,05410199305091016060109,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-15.71
11/02/2019,55310209305083775546827,"AMZN MKTP US*IT3DL8E33 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-4.33
11/01/2019,55432869305200257040145,"SQ *SQ *TAPIOCA HOUSE. Austin TX","Austin        TX ",-3.99
11/01/2019,55432869305200304906314,"APPLE STORE #R085 AUSTIN TX","AUSTIN        TX ",-269.54
11/01/2019,05410199304091016777034,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-10.29
11/01/2019,30406005720014568302851,"Online payment from CHK 7","",800.00
10/31/2019,55436879304733046163337,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.20
10/31/2019,55432869304200096830418,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/31/2019,05410199303091016449031,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-9.46
10/30/2019,05410199302091016045681,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.56
10/29/2019,55436879302733026813879,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.20
10/29/2019,55500809302400965000540,"POKE BAY AUSTIN TX","AUSTIN        TX ",-10.81
10/29/2019,55432869302200654542399,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/29/2019,55432869302200651198930,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/29/2019,05410199301091016640821,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-1.99
10/28/2019,02305379301000401775863,"CVS/PHARMACY #07606 AUSTIN TX","AUSTIN        TX ",-14.38
10/26/2019,55436879299162994638990,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.75
10/26/2019,55432869299200980471185,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/26/2019,05410199298091017205785,"TARGET 00015420 AUSTIN TX","AUSTIN        TX ",-32.52
10/25/2019,55436879298162980378255,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.43
10/24/2019,55436879297732976946892,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.20
10/24/2019,55432869297200483301071,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/23/2019,55500809296400965000126,"POKE BAY AUSTIN TX","AUSTIN        TX ",-27.87
10/23/2019,55432869296200243576880,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/23/2019,55432869295200018560730,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/22/2019,55436879295152953280870,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.43
10/22/2019,55436879294162944553559,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-1.69
10/21/2019,55432869292200430926470,"SQ *SQ *MEDICI ROASTIN Austin TX","Austin        TX ",-6.00
10/19/2019,55432869291200081928404,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-15.00
10/17/2019,55436879290152905185586,"RPS AUSTIN DSMC UT AUSTIN TX","AUSTIN        TX ",-2.00
10/16/2019,55431409288630124716336,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-1.72
