Posted Date,Reference Number,Payee,Address,Amount
10/15/2019,55436879288152882889220,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-6.16
10/15/2019,55436879288152882880955,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.20
10/14/2019,55310209287083788127815,"AMZN MKTP US*5S18Y8TW3 AMZN.COM/BILLWA","AMZN.COM/BILL WA ",-26.52
10/14/2019,55432869287200015195852,"LULULEMON THE DOMAIN AUSTIN TX","AUSTIN        TX ",-6.09
10/14/2019,55432869287200015195845,"LULULEMON THE DOMAIN AUSTIN TX","AUSTIN        TX ",-100.00
10/12/2019,05410199284091016733999,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-11.77
10/12/2019,55432869284200422066418,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-20.00
10/11/2019,55431409283630155914029,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-3.29
10/11/2019,55429509283637393913037,"CUROLOGY 8588591188 CA","8588591188    CA ",-5.79
10/09/2019,55436879282152827048326,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.16
10/09/2019,55432869282200930857292,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
10/09/2019,55436879281262811743468,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-2.68
10/09/2019,55431409281630127944809,"UT GEN LIB LCS AUSTIN TX","AUSTIN        TX ",-5.00
10/08/2019,05410199280091016466677,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.49
10/07/2019,05410199279091016690568,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-14.15
10/07/2019,55432869279200248823361,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
10/05/2019,05410199277091016455733,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-22.51
10/04/2019,05410199276091016453846,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-9.97
10/04/2019,55431409276630154815150,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-2.15
10/04/2019,02305379276100078996841,"TST* RUDY S COUNTRY ST AUSTIN TX","AUSTIN        TX ",-10.23
10/03/2019,55432869276200498957417,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/02/2019,55432869275200239033008,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-10.00
10/02/2019,05410199274091016712060,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-2.48
10/02/2019,05410199274091016358054,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-3.56
10/01/2019,27406005710042949971852,"Online payment from CHK 7","",400.00
10/01/2019,05410199273091016211148,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-5.45
09/30/2019,05410199272091017463954,"TARGET 00010611 AUSTIN TX","AUSTIN        TX ",-36.78
09/30/2019,55432869272200391202592,"SEPHORA 72 AUSTIN TX","AUSTIN        TX ",-38.97
09/30/2019,55432869272200486299198,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
09/30/2019,05410199272091016433990,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-4.96
09/28/2019,55436879271162714819534,"ARAMARK CHICK FIL A AUSTIN TX","AUSTIN        TX ",-6.16
09/28/2019,55548079271206000000978,"DART BOWL AUSTIN TX","AUSTIN        TX ",-8.20
09/27/2019,05410199269091006012965,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-4.86
09/27/2019,05410199269091008094045,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",4.86
09/27/2019,05410199269091016030155,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-4.86
09/26/2019,55500809269400969000372,"POKE BAY AUSTIN TX","AUSTIN        TX ",-14.06
