"","Month","Day","Year","Weight","BMI"
"1","Oct","10","2020","125.2Lb",23
"2","Oct","9","2020","124.6Lb",22.9
"3","Sep","22","2020","123.0Lb",22.6
"4","Sep","16","2020","122.4Lb",22.5
"5","Aug","22","2020","119.8Lb",22
"6","Aug","21","2020","121.2Lb",22.3
"7","Aug","12","2020","120.4Lb",22.2
"8","Aug","9","2020","120.8Lb",22.2
"9","Aug","6","2020","121.0Lb",22.3
"10","Aug","2","2020","120.2Lb",22.1
"11","Aug","1","2020","119.8Lb",22
"12","Jul","31","2020","120.0Lb",22.1
"13","Jul","29","2020","120.0Lb",22.1
"14","Jul","28","2020","119.6Lb",22
"15","Jul","27","2020","120.0Lb",22.1
"16","Jul","26","2020","120.4Lb",22.2
"17","Jul","25","2020","120.4Lb",22.2
"18","Jul","24","2020","120.2Lb",22.1
"19","Jul","24","2020","119.6Lb",22
"20","Jul","21","2020","121.0Lb",22.3
"21","Jul","19","2020","121.8Lb",22.4
"22","Jul","18","2020","121.4Lb",22.3
"23","Jul","16","2020","120.8Lb",22.2
"24","Jul","15","2020","121.2Lb",22.3
"25","Jul","13","2020","121.2Lb",22.3
"26","Jul","12","2020","121.4Lb",22.3
"27","Jul","11","2020","121.6Lb",22.4
"28","Jul","9","2020","121.8Lb",22.4
"29","Jul","8","2020","121.4Lb",22.3
"30","Jul","7","2020","121.6Lb",22.4
"31","Jul","2","2020","121.0Lb",22.3
"32","Jun","30","2020","120.4Lb",22.2
"33","Jun","28","2020","121.2Lb",22.3
"34","Jun","27","2020","121.0Lb",22.3
"35","Jun","26","2020","122.0Lb",22.5
"36","Jun","25","2020","123.0Lb",22.6
"37","Jun","23","2020","123.4Lb",22.7
"38","Jun","22","2020","123.8Lb",22.8
"39","Jun","19","2020","123.4Lb",22.7
"40","Jun","18","2020","122.4Lb",22.5
"41","Jun","17","2020","122.2Lb",22.5
"42","Jun","16","2020","122.6Lb",22.6
"43","Jun","15","2020","122.6Lb",22.6
"44","Jun","13","2020","123.4Lb",22.7
"45","Jun","9","2020","124.2Lb",22.9
"46","Jun","6","2020","123.8Lb",22.8
"47","Jun","4","2020","123.6Lb",22.8
"48","Jun","2","2020","123.2Lb",22.7
"49","Jun","1","2020","122.6Lb",22.6
"50","May","30","2020","122.4Lb",22.5
"51","May","29","2020","123.2Lb",22.7
"52","May","28","2020","123.0Lb",22.6
"53","May","27","2020","123.6Lb",22.8
"54","May","26","2020","124.2Lb",22.9
"55","May","25","2020","125.4Lb",23.1
"56","May","19","2020","124.6Lb",22.9
"57","May","17","2020","124.0Lb",22.8
"58","May","14","2020","125.0Lb",23
"59","May","13","2020","126.4Lb",23.3
"60","May","13","2020","127.2Lb",23.4
"61","May","13","2020","126.4Lb",23.3
"62","May","12","2020","127.2Lb",23.4
"63","May","11","2020","125.4Lb",23.1
"64","May","9","2020","125.4Lb",23.1
"65","May","8","2020","126.2Lb",23.2
"66","May","7","2020","126.6Lb",23.3
"67","May","6","2020","127.6Lb",23.5
"68","May","5","2020","127.8Lb",23.5
"69","May","4","2020","128.2Lb",23.6
"70","May","4","2020","128.6Lb",23.7
"71","May","4","2020","129.0Lb",23.7
"72","May","3","2020","127.2Lb",23.4
"73","May","2","2020","125.8Lb",23.1
"74","May","1","2020","126.6Lb",23.3
"75","Apr","30","2020","126.4Lb",23.3
"76","Apr","29","2020","125.6Lb",23.1
"77","Apr","28","2020","127.2Lb",23.4
"78","Apr","21","2020","127.0Lb",23.4
"79","Apr","17","2020","126.0Lb",23.2
"80","Mar","8","2020","125.0Lb",23
"81","Mar","4","2020","124.6Lb",22.9
"82","Mar","3","2020","125.6Lb",23.1
"83","Feb","24","2020","124.4Lb",22.9
"84","Feb","14","2020","124.8Lb",23
"85","Feb","14","2020","124.8Lb",23
"86","Feb","11","2020","123.2Lb",22.7
"87","Feb","10","2020","124.4Lb",22.9
"88","Feb","9","2020","123.6Lb",22.7
"89","Feb","8","2020","123.4Lb",22.7
"90","Feb","6","2020","124.0Lb",22.8
"91","Feb","5","2020","125.4Lb",23.1
"92","Feb","4","2020","125.2Lb",23
"93","Feb","3","2020","126.2Lb",23.2
"94","Feb","2","2020","125.6Lb",23.1
"95","Feb","1","2020","125.2Lb",23
"96","Jan","31","2020","125.2Lb",23
"97","Jan","30","2020","125.0Lb",23
"98","Jan","28","2020","124.0Lb",22.8
