"","Month","Day","Year","Starbucks","CFA","UT","Boba"
"1","Jan","13","2020",-25,0,0,0
"2","Jan","08","2020",0,0,0,-4.54
"3","Jan","07","2020",0,0,0,-5.4
"4","Jan","06","2020",-25,0,0,0
"5","Jan","03","2020",0,0,0,-10.07
"6","Jan","02","2020",-25,0,0,0
"7","Dec","18","2019",-25,0,0,0
"8","Dec","16","2019",-25,0,0,0
"9","Feb","14","2020",0,-8.81,0,0
"10","Feb","14","2020",-25,0,0,0
"11","Feb","14","2020",0,0,0,-5.14
"12","Feb","14","2020",0,0,-5.48,0
"13","Feb","14","2020",0,0,-2.7,0
"14","Feb","08","2020",-25,0,0,0
"15","Feb","06","2020",0,-8.81,0,0
"16","Feb","06","2020",0,0,-5.75,0
"17","Feb","05","2020",0,-8.81,0,0
"18","Feb","05","2020",0,0,-1.72,0
"19","Feb","05","2020",0,0,-4.56,0
"20","Feb","05","2020",0,0,-1.89,0
"21","Feb","04","2020",-25,0,0,0
"22","Feb","04","2020",0,0,0,-6.22
"23","Feb","01","2020",0,-6.86,0,0
"24","Feb","01","2020",0,0,-1.89,0
"25","Feb","01","2020",0,0,-9.99,0
"26","Feb","01","2020",0,0,0,-5.13
"27","Jan","31","2020",0,0,-6.56,0
"28","Jan","30","2020",0,-6.48,0,0
"29","Jan","30","2020",-25,0,0,0
"30","Jan","30","2020",0,0,-1.89,0
"31","Jan","30","2020",0,0,-6.56,0
"32","Jan","30","2020",0,0,-4.36,0
"33","Jan","29","2020",0,0,-11.28,0
"34","Jan","29","2020",0,0,0,-5.13
"35","Jan","28","2020",0,0,0,-5.5
"36","Jan","28","2020",0,0,-1.89,0
"37","Jan","27","2020",-25,0,0,0
"38","Jan","27","2020",0,0,-4.08,0
"39","Jan","25","2020",0,0,-6.02,0
"40","Jan","23","2020",-25,0,0,0
"41","Jan","23","2020",0,0,-7.46,0
"42","Jan","22","2020",0,0,0,-8.93
"43","Mar","13","2020",0,-8.81,0,0
"44","Mar","13","2020",-25,0,0,0
"45","Mar","12","2020",0,-8.81,0,0
"46","Mar","11","2020",0,-6.48,0,0
"47","Mar","11","2020",0,0,0,-5.14
"48","Mar","11","2020",0,0,0,-5.5
"49","Mar","11","2020",0,0,-5.99,0
"50","Mar","11","2020",0,0,-6.56,0
"51","Mar","10","2020",0,0,-5.48,0
